Duration,Risk,outlier
-1.0,0.0,1
2.5,-1.0,1
-0.5,0.0,1
2.0,0.0,1
0.5,-1.0,1
1.5,0.0,1
0.5,0.0,1
1.5,0.0,1
-0.5,0.0,1
1.0,-1.0,1
-0.5,-1.0,1
2.5,-1.0,1
-0.5,0.0,1
0.5,-1.0,1
-0.25,0.0,1
0.5,-1.0,1
0.5,0.0,1
1.0,0.0,1
0.5,-1.0,1
0.5,0.0,1
-0.75,0.0,1
-1.0,0.0,1
-0.6666666666666666,0.0,1
-0.5,0.0,1
-0.6666666666666666,0.0,1
-1.0,0.0,1
-1.0,0.0,1
-0.5,0.0,1
-0.9166666666666666,0.0,1
3.5,-1.0,1
0.0,0.0,1
0.5,0.0,1
0.0,0.0,1
-0.5,0.0,1
-0.5,0.0,1
2.25,-1.0,1
2.5,0.0,1
0.0,-1.0,1
-0.6666666666666666,0.0,1
-0.75,0.0,1
1.0,0.0,1
-0.5,0.0,1
0.0,0.0,1
1.0,0.0,1
2.5,-1.0,1
-0.5833333333333334,0.0,1
1.5,0.0,1
-1.0,0.0,1
-0.5833333333333334,0.0,1
-0.5,0.0,1
0.5,0.0,1
0.75,0.0,1
-0.5,0.0,1
0.0,0.0,1
1.5,-1.0,1
-1.0,0.0,1
-0.5,-1.0,1
1.5,0.0,1
0.0,0.0,1
1.5,-1.0,1
-0.75,0.0,1
-0.25,0.0,1
1.5,-1.0,1
2.5,-1.0,1
0.5,0.0,1
0.75,0.0,1
-0.5,0.0,1
-0.5,0.0,1
1.5,-1.0,1
1.5,0.0,1
1.5,0.0,1
-0.9166666666666666,0.0,1
-0.8333333333333334,0.0,1
2.0,0.0,1
1.5,-1.0,1
-0.5,0.0,1
2.0,-1.0,1
-0.5833333333333334,0.0,1
3.0,0.0,1
1.0,0.0,1
0.5,-1.0,1
-0.25,0.0,1
0.0,0.0,1
0.5,0.0,1
-0.6666666666666666,0.0,1
-0.5,0.0,1
0.0,0.0,1
1.5,-1.0,1
0.0,0.0,1
-0.5,-1.0,1
-0.5,0.0,1
-0.5,0.0,1
-0.5,-1.0,1
0.5,0.0,1
-0.5,0.0,1
3.0,-1.0,1
-0.5,0.0,1
0.0,0.0,1
1.5,0.0,1
0.16666666666666666,0.0,1
0.5,0.0,1
1.5,0.0,1
-1.0,0.0,1
-0.75,0.0,1
-0.5,0.0,1
0.5,-1.0,1
0.0,-1.0,1
-0.5,0.0,1
0.5,0.0,1
-0.3333333333333333,0.0,1
-1.0,0.0,1
-0.25,0.0,1
0.0,0.0,1
1.5,-1.0,1
-0.5,0.0,1
2.5,0.0,1
2.0,-1.0,1
-0.6666666666666666,0.0,1
1.25,-1.0,1
-0.5,0.0,1
0.25,-1.0,1
0.5,0.0,1
-0.5,0.0,1
-0.6666666666666666,0.0,1
0.0,-1.0,1
-0.5,0.0,1
-0.5,0.0,1
-0.5,-1.0,1
-0.5,0.0,1
-0.5,-1.0,1
2.5,0.0,1
1.5,-1.0,1
-0.25,0.0,1
0.0,0.0,1
-0.5,0.0,1
0.75,0.0,1
-0.5,-1.0,1
-0.25,0.0,1
-0.5,0.0,1
-1.0,0.0,1
1.5,0.0,1
0.75,0.0,1
0.0,-1.0,1
0.25,0.0,1
2.5,0.0,1
-1.0,0.0,1
-0.5,0.0,1
1.5,0.0,1
0.0,0.0,1
-1.0,0.0,1
-0.6666666666666666,0.0,1
1.5,0.0,1
0.5,0.0,1
0.5,0.0,1
-0.5,-1.0,1
-0.75,0.0,1
-0.5,0.0,1
0.5,0.0,1
-1.0,0.0,1
0.5,0.0,1
0.0,0.0,1
-0.25,0.0,1
-0.6666666666666666,0.0,1
1.5,0.0,1
-1.0,0.0,1
0.0,-1.0,1
-0.5833333333333334,0.0,1
0.5,0.0,1
0.5,-1.0,1
-0.25,-1.0,1
-0.5,0.0,1
0.5,-1.0,1
-0.8333333333333334,0.0,1
0.25,-1.0,1
1.0,-1.0,1
-0.5,0.0,1
-1.0,0.0,1
-0.5,0.0,1
0.25,0.0,1
1.5,-1.0,1
1.5,-1.0,1
0.25,-1.0,1
0.5,0.0,1
0.0,-1.0,1
-0.25,0.0,1
-0.75,-1.0,1
-0.16666666666666666,0.0,1
-0.5,-1.0,1
0.0,0.0,1
0.5,-1.0,1
2.5,-1.0,1
0.75,-1.0,1
-1.0,0.0,1
2.25,-1.0,1
-0.75,-1.0,1
-1.0,0.0,1
-0.5,-1.0,1
0.5,0.0,1
0.0,-1.0,1
-0.75,0.0,1
-0.5,0.0,1
0.75,0.0,1
-0.5,-1.0,1
-0.5,0.0,1
1.0,0.0,1
-0.5,0.0,1
-0.5,0.0,1
0.5,0.0,1
-0.5,0.0,1
-0.75,0.0,1
1.5,0.0,1
0.75,-1.0,1
1.0,-1.0,1
1.5,0.0,1
-1.0,0.0,1
0.0,0.0,1
1.5,0.0,1
0.5,0.0,1
-0.6666666666666666,0.0,1
-0.5,0.0,1
-0.5,0.0,1
-0.5,0.0,1
0.5,0.0,1
-0.25,0.0,1
1.5,0.0,1
2.5,-1.0,1
-0.5,-1.0,1
-0.75,-1.0,1
0.5,0.0,1
1.5,-1.0,1
-0.75,0.0,1
-0.5,0.0,1
0.0,0.0,1
-1.1666666666666667,0.0,1
0.5,-1.0,1
-1.0,-1.0,1
0.25,-1.0,1
-0.5,0.0,1
1.0,0.0,1
0.5,-1.0,1
-1.0,0.0,1
2.5,-1.0,1
-0.5,0.0,1
-0.5,0.0,1
0.5,0.0,1
-0.5,0.0,1
-1.0,0.0,1
0.5,0.0,1
0.0,-1.0,1
-1.0,0.0,1
-0.5,0.0,1
1.0,-1.0,1
0.5,0.0,1
-0.75,0.0,1
0.5,0.0,1
-0.5,-1.0,1
-0.25,0.0,1
-0.5833333333333334,0.0,1
-0.5,0.0,1
0.5,0.0,1
0.0,0.0,1
-0.5,0.0,1
-0.6666666666666666,0.0,1
-0.25,-1.0,1
1.5,0.0,1
0.5,0.0,1
-0.3333333333333333,-1.0,1
0.5,0.0,1
0.0,0.0,1
-0.5,0.0,1
2.5,0.0,1
2.5,-1.0,1
1.0,-1.0,1
-0.75,0.0,1
0.0,0.0,1
-0.5,0.0,1
-1.0,-1.0,1
0.5,0.0,1
-0.25,0.0,1
-0.5,0.0,1
0.0,0.0,1
-0.25,0.0,1
0.5,0.0,1
2.4166666666666665,0.0,1
2.5,0.0,1
2.5,0.0,1
-0.5,0.0,1
0.5,-1.0,1
-0.5,0.0,1
1.5,-1.0,1
0.5,0.0,1
2.0,0.0,1
2.5,0.0,1
2.5,-1.0,1
-0.5,0.0,1
-0.6666666666666666,0.0,1
0.0,0.0,1
0.25,0.0,1
-1.0,0.0,1
1.5,-1.0,1
0.5,-1.0,1
-0.6666666666666666,0.0,1
2.5,-1.0,1
-1.0,0.0,1
1.0,0.0,1
-0.5,-1.0,1
-0.8333333333333334,-1.0,1
-0.75,0.0,1
2.5,0.0,1
0.5,0.0,1
0.5,0.0,1
-0.5,-1.0,1
-1.1666666666666667,0.0,1
1.5,-1.0,1
-0.5,0.0,1
0.5,0.0,1
-0.5,0.0,1
-0.25,0.0,1
1.0,-1.0,1
0.5,-1.0,1
0.5,0.0,1
0.0,0.0,1
0.0,0.0,1
-0.8333333333333334,0.0,1
-0.5,0.0,1
0.5,0.0,1
1.5,0.0,1
-1.0,0.0,1
0.5,0.0,1
0.0,-1.0,1
3.5,-1.0,1
2.5,-1.0,1
0.5,-1.0,1
-1.0,-1.0,1
-0.4166666666666667,0.0,1
-0.25,-1.0,1
0.5,0.0,1
-0.6666666666666666,0.0,1
0.5,0.0,1
0.25,0.0,1
0.0,0.0,1
0.0,0.0,1
-0.6666666666666666,0.0,1
-0.25,0.0,1
-0.4166666666666667,0.0,1
0.5,0.0,1
-1.0,0.0,1
-0.75,-1.0,1
-0.75,0.0,1
-0.75,-1.0,1
0.0,0.0,1
-0.5,-1.0,1
-0.6666666666666666,0.0,1
0.5,-1.0,1
-0.5,0.0,1
1.5,-1.0,1
-0.5,0.0,1
1.0,-1.0,1
0.0,0.0,1
-0.5,0.0,1
-0.5,0.0,1
-1.0,0.0,1
0.0,-1.0,1
-0.5,0.0,1
0.0,0.0,1
0.0,0.0,1
1.5,-1.0,1
0.0,0.0,1
1.5,0.0,1
0.0,0.0,1
-0.6666666666666666,0.0,1
3.5,-1.0,1
2.5,-1.0,1
0.0,0.0,1
-0.9166666666666666,0.0,1
1.5,-1.0,1
-1.0,0.0,1
0.16666666666666666,0.0,1
0.0,-1.0,1
0.3333333333333333,0.0,1
-0.5,0.0,1
1.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
-0.25,0.0,1
-0.75,0.0,1
0.0,0.0,1
-0.5,0.0,1
1.5,0.0,1
-1.0,0.0,1
-0.75,0.0,1
1.75,0.0,1
-0.5,0.0,1
1.5,0.0,1
-0.5,-1.0,1
0.5,0.0,1
0.0,0.0,1
0.0,0.0,1
0.5,-1.0,1
-0.3333333333333333,0.0,1
0.0,0.0,1
0.5,-1.0,1
0.5,0.0,1
-0.25,0.0,1
0.5,0.0,1
-0.5,-1.0,1
0.5,0.0,1
1.25,0.0,1
-0.5,-1.0,1
-0.6666666666666666,0.0,1
0.5,-1.0,1
1.5,0.0,1
-0.5,-1.0,1
0.0,0.0,1
0.25,0.0,1
0.0,-1.0,1
-0.25,0.0,1
-0.5,0.0,1
-0.5,0.0,1
0.25,0.0,1
-0.5,-1.0,1
0.0,0.0,1
0.8333333333333334,0.0,1
0.0,0.0,1
-0.75,0.0,1
0.0,-1.0,1
-1.0833333333333333,0.0,1
0.5,-1.0,1
-1.0,0.0,1
0.5,0.0,1
-0.75,0.0,1
-0.5,-1.0,1
-1.0,0.0,1
0.5,0.0,1
2.0,0.0,1
-0.5,-1.0,1
-0.5,0.0,1
-0.5,0.0,1
0.16666666666666666,0.0,1
-0.5,-1.0,1
2.5,-1.0,1
-0.75,0.0,1
1.5,-1.0,1
-0.9166666666666666,0.0,1
-0.5,0.0,1
-0.25,-1.0,1
1.5,0.0,1
-1.0,0.0,1
-0.5,0.0,1
0.5,0.0,1
0.5,-1.0,1
0.5,0.0,1
-0.5833333333333334,0.0,1
-0.5,-1.0,1
-1.0,0.0,1
0.0,0.0,1
1.5,0.0,1
-0.25,0.0,1
-0.5,0.0,1
-0.5,0.0,1
0.0,0.0,1
0.5,0.0,1
0.5,-1.0,1
2.5,0.0,1
1.25,0.0,1
0.5,0.0,1
0.5,-1.0,1
-1.0,-1.0,1
-0.75,-1.0,1
-1.0,0.0,1
0.0,-1.0,1
0.0,-1.0,1
1.75,0.0,1
0.5,0.0,1
-0.5,0.0,1
-0.25,0.0,1
-0.5,0.0,1
0.5,0.0,1
1.0,0.0,1
-0.25,0.0,1
-0.5,0.0,1
-1.0,-1.0,1
-0.5,0.0,1
0.5,0.0,1
-0.6666666666666666,0.0,1
-1.0,0.0,1
-0.5,0.0,1
0.75,-1.0,1
-1.0,0.0,1
-1.0,0.0,1
-0.5,0.0,1
0.5,-1.0,1
1.5,-1.0,1
0.5,0.0,1
0.0,0.0,1
-1.0,0.0,1
0.5,-1.0,1
